,Year,Rk,Team,W,L,MOV,ORtg,DRtg,NRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,DRB%,FT/FGA,Won Championship,Rounds Played
0,1994,1.0,Seattle SuperSonics,63.0,19.0,9.09,111.1,101.5,9.6,0.344,0.105,0.547,0.501,13.7,34.4,67.3,0.256,0,1
1,1994,2.0,New York Knicks,57.0,25.0,6.99,105.7,98.2,7.5,0.311,0.135,0.527,0.483,15.1,34.4,71.4,0.232,0,4
2,1994,3.0,San Antonio Spurs,55.0,27.0,5.26,110.4,104.6,5.8,0.322,0.107,0.537,0.494,13.6,35.6,70.5,0.239,0,1
3,1994,4.0,Atlanta Hawks,57.0,25.0,5.27,107.2,101.7,5.5,0.294,0.118,0.523,0.48,13.6,34.6,67.7,0.221,0,2
4,1994,5.0,Phoenix Suns,56.0,26.0,4.84,111.7,106.8,4.9,0.325,0.147,0.548,0.509,13.9,35.2,69.3,0.236,0,2
5,1994,6.0,Utah Jazz,53.0,29.0,4.22,108.6,104.1,4.5,0.354,0.083,0.537,0.49,13.3,31.3,68.4,0.262,0,3
6,1994,7.0,Houston Rockets,58.0,24.0,4.32,105.9,101.4,4.5,0.294,0.191,0.545,0.507,15.0,27.6,69.7,0.218,1,4
7,1994,8.0,Cleveland Cavaliers,47.0,35.0,4.02,109.4,105.1,4.3,0.335,0.121,0.537,0.487,12.8,31.8,69.0,0.258,0,1
8,1994,9.0,Orlando Magic,50.0,32.0,3.89,110.8,106.7,4.1,0.341,0.165,0.547,0.514,14.4,33.8,66.3,0.231,0,1
9,1994,10.0,Indiana Pacers,47.0,35.0,3.45,107.8,104.2,3.6,0.366,0.077,0.547,0.5,16.0,34.4,68.0,0.27,0,3
10,1994,11.0,Chicago Bulls,55.0,27.0,3.09,106.1,102.7,3.4,0.273,0.097,0.526,0.493,14.6,33.8,70.8,0.192,0,2
11,1994,12.0,Miami Heat,42.0,40.0,2.67,109.5,106.7,2.8,0.322,0.145,0.538,0.488,14.3,35.3,69.1,0.253,0,1
